Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,lcredit,Age2,default
39,male,2,own,little,,1473,18,radio/TV,7.29505641646263,1521,1
28,male,2,own,,moderate,1887,18,business,7.54274354536855,784,1
27,male,2,own,little,,8648,24,business,9.065083359319043,729,2
27,male,1,own,little,,802,14,car,6.687108607866515,729,1
43,male,2,own,,moderate,2899,18,car,7.972121128921655,1849,1
22,male,2,own,little,moderate,2039,24,radio/TV,7.620214770574455,484,2
43,male,2,own,,,2197,24,car,7.69484807238461,1849,1
27,male,2,own,little,little,1053,15,radio/TV,6.959398512133975,729,1
26,male,3,own,quite rich,,3235,24,radio/TV,8.081784206935001,676,1
28,male,2,own,quite rich,rich,939,12,car,6.844815479208263,784,2
20,female,2,own,little,moderate,1967,24,radio/TV,7.584264818389059,400,1
35,male,3,own,little,,7253,33,car,8.889170455363413,1225,1
42,male,3,own,little,,2292,12,business,7.73718007783463,1764,2
40,male,1,rent,quite rich,,1597,10,car,7.375882148215011,1600,1
35,female,2,own,,little,1381,24,car,7.2305631534092925,1225,2
35,male,2,own,little,,5842,36,car,8.672828482947686,1225,1
33,male,1,own,little,little,2579,12,car,7.855157005881344,1089,2
23,female,2,rent,,little,8471,18,education,9.044403844431551,529,1
31,female,3,own,quite rich,,2782,21,car,7.930925372483388,961,1
33,female,2,own,,moderate,1042,18,car,6.948897222313312,1089,2
20,female,2,rent,rich,,3186,15,car,8.066521490469993,400,1
30,male,2,own,,moderate,2028,12,car,7.614805364711073,900,1
47,male,1,own,little,moderate,958,12,car,6.86484777797086,2209,1
34,male,3,own,moderate,,1591,21,furniture/equipment,7.372118028337787,1156,1
25,female,2,own,,moderate,2762,12,furniture/equipment,7.923710333969238,625,2
21,male,2,rent,little,moderate,2779,18,car,7.929846429742503,441,1
29,male,2,own,little,,2743,28,radio/TV,7.916807490937603,841,1
46,male,2,own,rich,,1149,18,radio/TV,7.046647277848756,2116,1
20,male,2,own,little,,1313,9,furniture/equipment,7.180069874302796,400,1
55,female,0,free,little,little,1190,18,repairs,7.081708586105575,3025,2
74,male,1,own,little,,3448,5,business,8.145549631783584,5476,1
29,male,3,own,little,moderate,11328,24,vacation/others,9.3350328159335,841,2
36,male,3,free,little,little,1872,6,furniture/equipment,7.534762657037537,1296,1
33,male,2,own,little,,2058,24,repairs,7.629489916393995,1089,1
25,male,2,own,little,little,2136,9,furniture/equipment,7.666690200080086,625,1
25,male,2,own,,moderate,1484,12,radio/TV,7.302496423727326,625,2
23,male,1,rent,quite rich,,660,6,repairs,6.492239835020471,529,1
37,female,2,own,rich,,1287,24,car,7.160069207596127,1369,1
65,male,0,own,little,little,3394,42,repairs,8.129764445794171,4225,1
26,female,0,own,little,rich,609,12,business,6.411818267709897,676,2
39,male,3,own,little,,1884,12,car,7.541152455136308,1521,1
30,female,2,own,little,little,1620,12,furniture/equipment,7.390181428226429,900,1
29,male,2,own,little,moderate,2629,20,vacation/others,7.874358824729881,841,1
41,male,1,own,little,,719,12,education,6.577861357721047,1681,2
30,female,3,own,little,moderate,5096,48,furniture/equipment,8.536211197252,900,2
41,female,1,rent,,,1244,9,education,7.126087273299125,1681,1
34,female,2,own,little,little,1842,36,car,7.518607216815252,1156,2
35,male,2,own,little,moderate,2576,7,radio/TV,7.853993087224244,1225,1
55,female,3,own,,rich,1424,12,furniture/equipment,7.261225091971921,3025,1
61,male,2,own,rich,moderate,1512,15,repairs,7.321188556739478,3721,2
30,male,3,own,,,11054,36,car,9.310547632393208,900,1
29,female,2,own,little,,518,6,radio/TV,6.249975242259483,841,1
34,male,2,own,little,,2759,12,furniture/equipment,7.922623574217286,1156,1
35,male,3,own,little,,2670,24,car,7.889833751394295,1225,1
31,male,2,own,little,little,4817,24,car,8.479906606630221,961,2
29,female,3,own,little,,2679,24,car,7.893198869544609,841,1
36,male,2,rent,little,little,3905,11,car,8.270013062273787,1296,1
35,male,2,free,little,little,3386,12,car,8.12740456269308,1225,2
27,female,2,own,little,little,343,6,domestic appliances,5.83773044716594,729,1
32,male,2,own,little,,4594,18,radio/TV,8.432506383249043,1024,1
37,male,2,own,little,little,3620,36,furniture/equipment,8.194229304819817,1369,1
36,male,2,own,little,little,1721,15,car,7.450660796211539,1296,1
34,female,3,rent,little,moderate,3017,12,furniture/equipment,8.012018239159062,1156,1
38,male,2,own,,moderate,754,12,education,6.625392368007956,1444,1
34,male,2,own,little,,1950,18,business,7.575584651557793,1156,1
63,male,2,own,little,little,2924,24,car,7.980707820869669,3969,1
29,female,1,rent,little,little,1659,24,radio/TV,7.413970290190444,841,2
32,male,2,own,,,7238,48,radio/TV,8.887100204123687,1024,1
26,female,2,own,little,,2764,33,business,7.92443418488756,676,1
35,male,1,own,little,,4679,24,car,8.450839690866216,1225,1
22,male,2,rent,moderate,moderate,3092,24,radio/TV,8.036573409707312,484,2
23,female,2,own,little,little,448,6,education,6.104793232414985,529,2
28,male,1,own,little,little,654,9,car,6.483107351457199,784,2
36,male,3,own,,,1238,6,education,7.121252453244542,1296,1
33,male,2,own,little,moderate,1245,18,radio/TV,7.126890808898808,1089,2
26,female,2,rent,little,little,3114,18,furniture/equipment,8.043663352393944,676,2
24,male,2,own,quite rich,,2569,39,car,7.851271997109883,576,1
25,male,2,own,little,rich,5152,24,radio/TV,8.54714026778419,625,1
39,male,1,own,moderate,moderate,1037,12,business,6.944087208229528,1521,1
44,male,2,own,little,little,1478,15,furniture/equipment,7.298445101508147,1936,1
23,female,1,own,little,moderate,3573,12,radio/TV,8.181160858023409,529,1
26,male,2,own,little,moderate,1201,24,car,7.090909822079984,676,1
57,female,2,rent,rich,little,3622,30,furniture/equipment,8.19478163844336,3249,1
30,female,2,own,rich,,960,15,furniture/equipment,6.866933284461882,900,1
44,male,2,own,quite rich,,1163,12,car,7.0587581525186645,1936,1
47,male,3,own,little,moderate,1209,6,car,7.097548850614793,2209,2
52,male,2,own,little,,3077,12,radio/TV,8.031710375322042,2704,1
62,female,2,free,little,,3757,24,car,8.231376045573969,3844,1
35,male,1,rent,moderate,,1418,10,car,7.257002707092073,1225,1
26,male,2,rent,little,,3518,6,car,8.165647925297504,676,1
26,male,2,own,little,,1934,12,radio/TV,7.56734567601324,676,1
42,female,3,free,little,moderate,8318,27,business,9.026177120302856,1764,2
27,female,2,own,moderate,,1237,6,radio/TV,7.120444372392488,729,1
38,male,2,own,,moderate,368,6,radio/TV,5.908082938168931,1444,1
39,male,1,rent,little,little,2122,12,car,7.660114319173928,1521,1
20,male,2,own,,little,2996,24,furniture/equipment,8.005033344637111,400,2
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,9.108750516214547,841,2
40,male,2,own,little,,1585,24,furniture/equipment,7.368339686311381,1600,1
32,male,1,own,little,moderate,1301,18,radio/TV,7.170888478512505,1024,1
28,male,2,own,moderate,rich,1323,6,car,7.187657164114956,784,1
27,female,2,own,little,little,3123,24,car,8.046549357283078,729,2
42,male,2,free,little,little,5493,36,car,8.61122983334262,1764,1
49,male,2,own,moderate,rich,1126,9,radio/TV,7.026426808699636,2401,1
38,male,2,own,moderate,moderate,1216,24,radio/TV,7.103322062526113,1444,2
24,female,2,rent,little,little,1207,24,car,7.095893221097532,576,2
27,male,1,own,,,1309,10,car,7.1770187659099,729,2
36,male,2,own,quite rich,rich,2360,15,car,7.766416898019655,1296,1
34,male,3,own,moderate,moderate,6850,15,car,8.83200393125627,1156,2
28,male,2,own,little,,1413,24,radio/TV,7.253470382684528,784,1
45,male,3,own,moderate,,8588,39,car,9.058121158998672,2025,1
26,male,2,own,little,little,759,12,car,6.63200177739563,676,2
32,male,3,free,little,,4686,36,car,8.452334619067742,1024,1
26,male,2,rent,little,rich,2687,15,business,7.8961806086154915,676,1
20,male,2,rent,little,moderate,585,12,radio/TV,6.371611847231857,400,1
54,male,2,own,,,2255,24,car,7.720905251936779,2916,1
37,female,2,own,little,little,609,6,car,6.411818267709897,1369,1
40,male,1,own,little,little,1361,6,car,7.215975002651466,1600,1
23,female,2,rent,little,,7127,36,furniture/equipment,8.871645667501872,529,2
43,male,2,own,moderate,little,1203,6,car,7.0925737159746784,1849,1
36,male,2,free,,,700,6,radio/TV,6.551080335043404,1296,1
44,male,2,free,little,,5507,24,repairs,8.613775289262481,1936,1
24,female,2,own,little,little,3190,18,radio/TV,8.06777619577889,576,2
53,male,2,free,little,little,7119,48,furniture/equipment,8.870522545103873,2809,2
23,female,2,own,moderate,,3488,24,car,8.15708378502887,529,1
26,female,1,own,little,moderate,1113,18,radio/TV,7.014814351275545,676,1
30,male,2,own,little,moderate,7966,26,car,8.982937763741589,900,1
31,female,2,own,moderate,,1532,15,education,7.334329350300536,961,1
42,male,1,own,little,,1503,4,radio/TV,7.315218389752975,1764,1
31,male,2,rent,little,little,2302,36,radio/TV,7.741533589281828,961,2
41,male,1,own,little,little,662,6,car,6.495265555937008,1681,1
32,male,2,own,little,moderate,2273,36,education,7.728855823852543,1024,1
28,female,2,rent,moderate,moderate,2631,15,car,7.875119281040293,784,2
41,male,2,rent,little,,1503,12,car,7.315218389752975,1681,1
26,male,2,own,moderate,,1311,24,radio/TV,7.1785454837637,676,1
25,male,2,own,,,3105,24,radio/TV,8.040768994367578,625,1
33,male,2,rent,little,rich,2319,21,education,7.7488913372555315,1089,2
75,female,3,own,,little,1374,6,car,7.2254814727822945,5625,1
37,female,2,own,little,moderate,3612,18,furniture/equipment,8.192016914536875,1369,1
42,male,3,free,little,little,7763,48,car,8.95712413640568,1764,2
45,female,1,own,little,rich,3049,18,furniture/equipment,8.022568946988255,2025,1
23,male,2,rent,little,moderate,1534,12,radio/TV,7.335633981927201,529,2
60,male,2,free,little,,2032,24,car,7.616775808698373,3600,1
31,male,2,own,,little,6350,30,furniture/equipment,8.756210091886738,961,2
34,male,1,own,little,rich,2864,18,furniture/equipment,7.959974528080536,1156,2
61,male,1,own,little,,1255,12,car,7.134890851565884,3721,1
43,male,2,free,little,little,1333,24,car,7.195187320178709,1849,2
37,female,2,own,little,,2022,24,car,7.611842399580417,1369,1
32,male,2,own,little,,1552,24,radio/TV,7.347299700743164,1024,1
24,female,1,own,little,little,626,12,radio/TV,6.439350371100098,576,2
35,male,2,free,,,8858,48,car,9.089076284483143,1225,1
23,female,2,own,,,996,12,repairs,6.903747257584598,529,1
45,male,1,own,quite rich,,1750,6,radio/TV,7.467371066917559,2025,1
34,male,2,own,little,little,6999,48,radio/TV,8.85352256068954,1156,2
27,male,2,own,moderate,moderate,1995,12,car,7.598399329323964,729,1
67,female,3,own,little,moderate,1199,9,education,7.089243155027514,4489,1
22,male,2,own,little,moderate,1331,12,radio/TV,7.193685818395112,484,2
28,female,2,own,moderate,moderate,2278,18,car,7.731053144007127,784,2
29,female,2,own,,,5003,21,car,8.517793011488205,841,2
27,male,2,own,little,little,3552,24,furniture/equipment,8.17526610411206,729,2
31,male,1,own,little,moderate,1928,18,furniture/equipment,7.564238475170491,961,2
49,male,2,free,,little,2964,24,car,7.994294986415977,2401,1
24,male,1,rent,little,little,1546,24,radio/TV,7.343426229147367,576,2
29,female,2,own,little,rich,683,6,radio/TV,6.52649485957079,841,1
37,male,2,free,,moderate,12389,36,car,9.42456426111574,1369,2
37,male,3,own,,moderate,4712,24,business,8.457867725331422,1369,1
23,female,2,rent,moderate,moderate,1553,24,radio/TV,7.347943823148687,529,1
36,male,2,own,little,little,1372,12,car,7.22402480828583,1296,2
34,male,2,own,rich,,2578,24,radio/TV,7.8547691834991324,1156,1
41,male,2,own,,moderate,3979,48,radio/TV,8.288785810426928,1681,1
31,female,2,own,little,little,6758,48,radio/TV,8.818482267274236,961,2
23,female,1,rent,little,little,3234,24,furniture/equipment,8.081475040137052,529,2
38,male,2,own,little,,5954,30,radio/TV,8.691818541575723,1444,1
26,female,3,rent,,,5433,24,car,8.600246746551523,676,1
22,female,1,own,little,little,806,15,business,6.692083742506628,484,1
27,male,1,own,little,moderate,1082,9,radio/TV,6.9865664594064265,729,1
24,female,2,own,little,,2788,15,furniture/equipment,7.933079771880415,576,1
27,female,2,own,little,moderate,2930,12,radio/TV,7.982757702011113,729,1
33,female,2,own,,,1927,24,education,7.563719668414366,1089,1
27,male,2,own,little,moderate,2820,36,car,7.944492163932159,729,2
27,male,1,own,little,,937,24,education,6.842683282238422,729,1
30,male,2,own,little,moderate,1056,18,car,6.962243464266207,900,2
49,male,1,own,little,moderate,3124,12,car,8.046869510959576,2401,1
26,female,2,rent,little,,1388,9,furniture/equipment,7.23561914106675,676,1
33,male,1,rent,little,moderate,2384,36,repairs,7.776535028185241,1089,2
52,female,3,free,,,2133,12,car,7.665284718471351,2704,1
20,female,2,rent,little,little,2039,18,furniture/equipment,7.620214770574455,400,2
36,male,2,rent,little,little,2799,9,car,7.937017489515454,1296,1
21,male,1,own,little,little,1289,12,furniture/equipment,7.161622002939187,441,1
47,male,1,own,little,little,1217,18,domestic appliances,7.104144092987527,2209,2
60,male,2,own,little,little,2246,12,furniture/equipment,7.716906135298388,3600,2
58,female,1,own,little,little,385,12,radio/TV,5.953243334287785,3364,1
42,female,2,rent,,moderate,1965,24,car,7.583247524303362,1764,1
36,female,1,own,rich,,1572,21,business,7.360103972989152,1296,1
20,female,1,rent,little,moderate,2718,24,car,7.907651594711089,400,2
40,male,3,own,,little,1358,24,vacation/others,7.213768308118642,1600,2
32,female,1,own,moderate,moderate,931,6,car,6.836259277277067,1024,2
23,female,2,rent,little,little,1442,24,car,7.273786317844895,529,2
36,male,1,own,little,moderate,4241,24,business,8.352554369474591,1296,2
31,male,2,own,little,,2775,18,car,7.928406026180535,961,2
32,male,2,free,little,,3863,24,business,8.259199362666282,1024,1
45,female,2,own,little,moderate,2329,7,radio/TV,7.753194269884341,2025,1
30,female,2,own,little,moderate,918,9,furniture/equipment,6.822197390620491,900,2
34,female,1,free,little,moderate,1837,24,education,7.515889085215125,1156,2
28,female,3,own,little,,3349,36,furniture/equipment,8.116417072794205,784,2
23,female,2,own,little,rich,1275,10,furniture/equipment,7.150701457592526,529,1
22,male,2,own,quite rich,little,2828,24,furniture/equipment,7.947325027016463,484,1
74,male,3,own,little,,4526,24,business,8.417593826193484,5476,1
50,female,2,free,moderate,moderate,2671,36,radio/TV,7.890208213109961,2500,2
33,male,2,own,little,,2051,18,radio/TV,7.62608275807238,1089,1
45,male,2,free,,,1300,15,car,7.170119543449628,2025,1
22,female,2,own,moderate,little,741,12,domestic appliances,6.608000625296087,484,2
48,female,1,free,moderate,rich,1240,10,car,7.122866658599083,2304,2
29,female,2,own,rich,little,3357,21,radio/TV,8.118802996980035,841,1
22,female,2,rent,little,little,3632,24,car,8.197538739721184,484,1
22,female,2,own,little,,1808,18,furniture/equipment,7.4999765409521215,484,2
48,male,3,own,,moderate,12204,48,business,9.40951904583656,2304,1
27,male,3,free,,moderate,9157,60,radio/TV,9.122273893107732,729,1
37,male,2,rent,little,little,3676,6,car,8.209580483475577,1369,1
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,8.14351740579748,441,2
49,male,1,own,little,,640,12,car,6.461468176353717,2401,1
27,male,2,own,little,moderate,3652,21,business,8.20303024171486,729,1
32,male,2,own,little,,1530,18,car,7.333023014386481,1024,2
38,male,2,own,,,3914,48,business,8.272315147956022,1444,2
22,female,2,rent,little,little,1858,12,furniture/equipment,7.527255919373784,484,1
65,male,2,free,little,little,2600,18,radio/TV,7.863266724009573,4225,2
35,male,2,own,,,1979,15,radio/TV,7.590346945602565,1225,1
41,male,2,own,little,rich,2116,6,furniture/equipment,7.65728279297819,1681,1
29,male,2,own,moderate,moderate,1437,9,car,7.270312886079025,841,2
36,male,2,own,quite rich,,4042,42,furniture/equipment,8.304494897963567,1296,1
64,male,1,own,,,3832,9,education,8.251142139090751,4096,1
28,female,2,own,little,little,3660,24,radio/TV,8.205218426395412,784,1
44,male,2,own,little,little,1553,18,furniture/equipment,7.347943823148687,1936,2
23,male,2,own,,moderate,1444,15,radio/TV,7.275172319452771,529,1
19,female,2,rent,little,,1980,9,furniture/equipment,7.590852123688581,361,2
25,female,1,own,little,moderate,1355,24,car,7.2115567333138015,625,2
47,male,2,own,little,,1393,12,education,7.239214973779806,2209,1
28,female,2,own,quite rich,,1376,24,radio/TV,7.226936018493289,784,1
21,male,2,own,little,,15653,60,radio/TV,9.658417870888224,441,1
34,female,2,own,little,,1493,12,radio/TV,7.30854279753919,1156,1
26,male,2,own,little,little,4370,42,radio/TV,8.382518288089635,676,2
27,female,0,own,little,little,750,18,education,6.620073206530356,729,2
38,male,1,own,little,moderate,1308,15,repairs,7.176254532017144,1444,1
40,male,3,own,moderate,,4623,15,education,8.438799123988225,1600,2
33,male,2,own,little,,1851,24,radio/TV,7.523481312573497,1089,1
32,male,3,own,little,little,1880,18,radio/TV,7.539027055823995,1024,1
27,male,2,rent,,,7980,36,business,8.984693690443855,729,2
32,male,2,own,little,little,4583,30,furniture/equipment,8.430109084509125,1024,1
26,female,2,own,quite rich,,1386,12,car,7.234177179749849,676,2
38,male,2,free,little,rich,947,24,car,6.853299093186078,1444,2
40,male,1,rent,little,little,684,12,education,6.52795791762255,1600,2
50,male,3,free,little,little,7476,48,education,8.919453168575453,2500,1
37,male,1,own,little,moderate,1922,12,furniture/equipment,7.561121589530238,1369,2
45,male,2,own,little,little,2303,24,car,7.741967899820685,2025,2
42,male,3,own,moderate,moderate,8086,36,car,8.997889450200717,1764,2
35,male,2,own,little,,2346,24,car,7.76046702921342,1225,1
22,male,2,free,little,little,3973,14,car,8.287276755814599,484,1
41,male,1,own,little,moderate,888,12,car,6.78897174299217,1681,2
37,male,2,own,,,10222,48,radio/TV,9.232297539328226,1369,1
28,female,2,own,little,moderate,4221,30,business,8.347827345782498,784,1
41,male,2,own,little,moderate,6361,18,furniture/equipment,8.757940876678804,1681,1
23,male,2,rent,little,rich,1297,12,radio/TV,7.167809184316444,529,1
23,male,2,own,,little,900,12,car,6.802394763324311,529,2
50,male,2,own,little,,2241,21,furniture/equipment,7.714677473800927,2500,1
35,male,3,own,little,moderate,1050,6,furniture/equipment,6.956545443151569,1225,1
50,female,1,own,little,rich,1047,6,education,6.953684210870537,2500,1
27,male,3,own,little,,6314,24,vacation/others,8.750524669117937,729,1
34,male,2,own,rich,moderate,3496,30,furniture/equipment,8.159374736775426,1156,1
27,female,2,own,little,,3609,48,business,8.19118600464279,729,1
43,male,2,rent,little,little,4843,12,car,8.48528964240323,1849,2
47,male,2,own,little,rich,3017,30,radio/TV,8.012018239159062,2209,1
27,male,1,own,moderate,,4139,24,business,8.328209491748732,729,1
31,male,2,own,moderate,,5742,36,business,8.655562860681009,961,1
42,male,3,own,little,,10366,60,car,9.246286498749653,1764,1
24,male,2,own,quite rich,,2080,6,car,7.640123172695364,576,1
41,male,1,own,quite rich,,2580,21,business,7.855544677915663,1681,2
26,female,3,rent,little,,4530,30,radio/TV,8.41847721847708,676,1
33,male,2,own,little,,5150,24,furniture/equipment,8.546751993657782,1089,1
24,male,2,own,moderate,moderate,5595,72,radio/TV,8.629628620746026,576,2
64,male,1,rent,little,little,2384,24,radio/TV,7.776535028185241,4096,1
26,female,2,own,little,,1453,18,radio/TV,7.281385663570282,676,1
56,female,2,own,little,,1538,6,education,7.338238150065589,3136,1
37,male,2,free,,,2279,12,radio/TV,7.731492029245684,1369,1
33,male,2,own,little,,1478,15,radio/TV,7.298445101508147,1089,1
47,male,2,free,little,,5103,24,radio/TV,8.537583881063972,2209,1
31,male,1,own,moderate,moderate,9857,36,business,9.19593714166544,961,1
34,male,2,free,,,6527,60,car,8.783702698635217,1156,1
27,male,2,own,,rich,1347,10,radio/TV,7.205635176410364,729,1
30,male,2,free,moderate,moderate,2862,36,car,7.959275960116396,900,1
35,male,2,own,moderate,,2753,9,radio/TV,7.920446505142607,1225,1
31,male,2,own,rich,little,3651,12,car,8.202756381655638,961,1
25,male,2,own,little,little,975,15,furniture/equipment,6.882437470997847,625,1
25,female,1,own,moderate,moderate,2631,15,repairs,7.875119281040293,625,1
29,male,2,own,moderate,moderate,2896,24,radio/TV,7.971085753505607,841,1
44,male,1,own,,little,4716,6,car,8.458716261657262,1936,1
28,male,2,own,little,,2284,24,radio/TV,7.7336835707759,784,1
50,male,2,rent,quite rich,,1236,6,car,7.119635638017636,2500,1
29,male,2,own,little,moderate,1103,12,radio/TV,7.005789019253503,841,1
38,female,0,own,little,,926,12,car,6.83087423464618,1444,1
24,male,2,own,little,,1800,18,radio/TV,7.495541943884256,576,1
40,male,3,rent,little,rich,1905,15,education,7.552237287560802,1600,1
29,female,1,rent,quite rich,,1123,12,furniture/equipment,7.023758954738443,841,2
46,male,2,free,little,little,6331,48,car,8.753213480544126,2116,2
47,female,2,free,moderate,rich,1377,24,radio/TV,7.227662498728654,2209,1
41,male,2,own,moderate,moderate,2503,30,business,7.8252452914317745,1681,1
32,female,2,own,little,moderate,2528,27,business,7.8351837552667485,1024,1
35,female,2,free,quite rich,,5324,15,car,8.579980179515003,1225,1
24,male,2,own,moderate,moderate,6560,48,car,8.788745881938135,576,2
25,female,2,rent,little,moderate,2969,12,furniture/equipment,7.99598047476376,625,2
25,female,2,own,little,moderate,1206,9,radio/TV,7.095064377287131,625,1
37,male,1,own,little,moderate,2118,9,radio/TV,7.658227526161352,1369,1
32,male,3,own,quite rich,,629,18,radio/TV,6.444131256700441,1024,1
35,female,2,free,little,little,1198,6,education,7.088408778675395,1225,2
46,male,3,own,,,2476,21,car,7.814399633804487,2116,1
25,male,1,own,little,little,1138,9,radio/TV,7.037027614686276,625,1
27,male,3,own,little,moderate,14027,60,car,9.54873932271967,729,2
63,male,2,own,,,7596,30,car,8.935377071932177,3969,1
40,male,2,own,,,3077,30,radio/TV,8.031710375322042,1600,1
32,male,3,free,little,,1505,18,radio/TV,7.316548177182976,1024,1
31,male,2,own,,rich,3148,24,radio/TV,8.054522609537294,961,1
31,male,2,own,moderate,moderate,6148,20,car,8.723882104658486,961,1
34,male,3,own,little,rich,1337,9,radio/TV,7.198183577101943,1156,2
24,female,2,rent,rich,moderate,433,6,education,6.07073772800249,576,2
24,female,1,own,little,little,1228,12,car,7.113142108707088,576,2
66,female,1,own,quite rich,moderate,790,9,radio/TV,6.672032945461067,4356,1
21,female,2,rent,little,,2570,27,car,7.851661177889265,441,2
41,female,1,own,rich,,250,6,car,5.521460917862246,1681,1
47,male,1,own,quite rich,,1316,15,radio/TV,7.182352111885263,2209,1
25,female,2,rent,little,little,1882,18,radio/TV,7.540090320145325,625,2
59,female,2,rent,little,moderate,6416,48,business,8.766550149546351,3481,2
36,male,2,own,rich,rich,1275,24,business,7.150701457592526,1296,1
33,male,2,own,little,moderate,6403,24,radio/TV,8.764521909518802,1089,1
21,male,1,rent,little,little,1987,24,radio/TV,7.594381242551817,441,2
44,female,1,own,little,moderate,760,8,radio/TV,6.633318433280377,1936,1
28,female,2,rent,rich,,2603,24,car,7.864419904994565,784,1
37,female,2,own,little,,3380,4,car,8.125630988477065,1369,1
29,female,0,own,,moderate,3990,36,domestic appliances,8.29154650988391,841,1
23,female,3,rent,little,moderate,11560,24,car,9.355306142226368,529,2
35,male,1,own,moderate,little,4380,18,car,8.384804003370492,1225,1
45,male,3,own,little,,6761,6,car,8.818926087090677,2025,1
26,female,1,rent,moderate,moderate,4280,30,business,8.361708288575842,676,2
32,male,2,own,moderate,little,2325,24,car,7.751475318021456,1024,1
23,male,1,own,little,moderate,1048,10,radio/TV,6.954638864880987,529,1
41,male,2,own,,,3160,21,radio/TV,8.058327306580958,1681,1
22,male,2,own,quite rich,little,2483,24,furniture/equipment,7.817222785508166,484,1
30,male,3,own,,little,14179,39,furniture/equipment,9.55951727573756,900,1
28,male,1,own,little,little,1797,13,business,7.493873886783559,784,1
23,female,2,rent,little,little,2511,15,car,7.828436359157585,529,1
37,female,1,own,little,little,1274,12,car,7.149916836132109,1369,2
26,male,2,own,,,5248,21,car,8.565602330623925,676,1
33,male,2,own,little,,3029,15,car,8.015987811027237,1089,1
49,female,2,own,little,little,428,6,furniture/equipment,6.059123195581797,2401,1
23,female,1,own,little,little,976,18,car,6.883462586413092,529,2
23,female,1,rent,moderate,moderate,841,12,business,6.734591659972948,529,1
25,female,2,own,little,,5771,30,radio/TV,8.660600654710967,625,1
55,male,2,free,rich,,1555,12,repairs,7.349230824613334,3025,2
32,female,2,rent,,little,1285,24,car,7.158513997329321,1024,2
74,male,0,own,little,rich,1299,6,car,7.1693500166706,5476,1
39,male,2,free,,rich,1271,15,radio/TV,7.147559271189454,1521,2
31,male,2,own,little,,1393,24,car,7.239214973779806,961,1
35,male,2,own,little,little,691,12,car,6.53813982376767,1225,2
59,female,2,own,,,5045,15,car,8.52615293278771,3481,1
24,female,2,rent,little,little,2124,18,furniture/equipment,7.66105638236183,576,2
24,male,1,own,little,little,2214,12,radio/TV,7.7025561132685825,576,1
30,male,3,free,,,12680,21,car,9.447781227991216,900,2
27,male,2,own,moderate,,2463,24,car,7.809135398120538,729,1
40,male,1,own,little,moderate,1155,12,radio/TV,7.051855622955894,1600,1
31,male,1,own,little,little,3108,30,furniture/equipment,8.041734711487537,961,2
31,female,2,rent,,,2901,10,car,7.972810784121404,961,1
28,male,2,rent,little,moderate,3617,12,furniture/equipment,8.193400231952097,784,1
63,male,1,own,little,,1655,12,radio/TV,7.411556287811163,3969,1
26,female,2,rent,,little,2812,24,car,7.941651252930556,676,1
25,female,3,own,little,little,8065,36,education,8.99528899055931,625,2
36,male,3,own,little,,3275,21,car,8.094073148069352,1296,1
52,male,2,own,moderate,,2223,24,radio/TV,7.706612913964197,2704,1
66,male,0,free,quite rich,rich,1480,12,car,7.299797366758161,4356,1
25,female,2,rent,,little,1371,24,car,7.223295679562314,625,2
37,male,2,own,little,,3535,36,car,8.170468578330674,1369,1
25,female,2,own,little,little,3509,18,radio/TV,8.163086375583216,625,1
38,male,3,own,rich,,5711,36,car,8.650149418664864,1444,1
67,female,2,own,little,moderate,3872,18,repairs,8.261526448396468,4489,1
25,male,2,own,little,moderate,4933,39,radio/TV,8.503702601233739,625,2
60,male,2,own,rich,,1940,24,car,7.570443252057374,3600,1
31,male,1,own,little,moderate,1410,12,education,7.251344983372214,961,1
23,female,1,own,moderate,moderate,836,12,car,6.728628613084702,529,2
60,male,3,own,,moderate,6468,20,car,8.774622220696997,3600,1
35,male,1,own,rich,moderate,1941,18,business,7.57095858316901,1225,1
40,male,2,own,quite rich,,2675,22,radio/TV,7.891704659330107,1600,1
38,male,2,own,,,2751,48,car,7.919719760924575,1444,1
50,male,2,free,little,moderate,6224,48,education,8.736168065858228,2500,2
27,male,2,own,little,little,5998,40,education,8.699181359308954,729,2
39,female,2,own,little,moderate,1188,21,business,7.080026499922591,1521,2
41,male,3,own,,,6313,24,car,8.750366278367625,1681,1
27,male,2,own,,,1221,6,furniture/equipment,7.107425474110705,729,1
51,male,2,free,little,rich,2892,24,furniture/equipment,7.969703583278656,2601,1
32,male,2,rent,quite rich,,3062,24,furniture/equipment,8.026823576217629,1024,1
22,female,2,rent,moderate,,2301,9,furniture/equipment,7.741099090035366,484,1
51,male,2,free,,little,7511,18,car,8.924123891686012,2601,2
22,female,1,rent,little,,1258,12,furniture/equipment,7.1372784372603855,484,1
54,male,2,own,,,717,24,car,6.57507584059962,2916,1
35,male,0,own,,moderate,1549,9,car,7.345364840416867,1225,1
54,male,2,free,little,,1597,24,education,7.375882148215011,2916,1
48,female,1,rent,little,moderate,1795,18,radio/TV,7.492760300922379,2304,1
24,female,2,own,little,little,4272,20,furniture/equipment,8.35983738064003,576,1
35,male,2,own,,,976,12,radio/TV,6.883462586413092,1225,1
24,female,0,rent,,moderate,7472,12,car,8.918917979908679,576,1
24,male,2,own,little,little,9271,36,car,9.134646527606982,576,2
